ZipCode,SalePrice,Acreage,LandValue,BuildingValue,TotalValue,FinishedArea,YearBuilt,Bedrooms,FullBath,HalfBath,Parks Per Zip,Acres of Parks Per Zip,ADA Park in Zip,Sports Fields in Zip,Walk Path in Zip
37013,112000,0.18,18000,79300,97300,1596,1972,4,1,1,5,327.44,True,True,True
37013,155000,0.27,25000,111500,136500,2379,1991,3,3,0,5,327.44,True,True,True
37013,135000,0.23,25000,84500,109500,1209,1990,3,2,0,5,327.44,True,True,True
37013,117000,0.35,25000,135900,160900,2429,1999,4,3,0,5,327.44,True,True,True
37013,141000,0.38,25000,109100,134100,1702,1994,3,2,0,5,327.44,True,True,True
37013,161500,0.23,22500,122600,145100,2250,1989,3,3,0,5,327.44,True,True,True
37013,164900,0.28,29500,121900,151400,2233,1985,4,3,0,5,327.44,True,True,True
37013,81500,0.13,13000,50600,63600,1274,1986,3,2,0,5,327.44,True,True,True
37013,62000,0.18,11900,54800,66700,1270.5,1984,3,2,0,5,327.44,True,True,True
37013,139900,0.19,27500,81600,109100,1850,1980,3,2,0,5,327.44,True,True,True
37013,49500,0.25,27500,94600,122100,1852,1980,4,2,0,5,327.44,True,True,True
37013,82000,0.1,13000,59800,73700,1134,1984,2,2,0,5,327.44,True,True,True
37013,82000,0.25,27500,91300,118800,1614,1986,4,3,0,5,327.44,True,True,True
37013,100000,0.24,27500,85700,113200,1503,1986,3,2,0,5,327.44,True,True,True
