,School Year,School Level,School ID,School Name,State School ID,Zip Code,Rank,Great schools rating,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf
78,20-21,Charter,512,KA @ The Crossings MS,8105,37013,4.0,Below Average,123,,,,,,,,10%,16%,38%,36%,,,,,10%,10%,33%,50%,10%,15%,48%,52%,29%,11%,44%,06/01/2021
79,20-21,Charter,502,KIPP Academy Nashville,8002,37207,6.0,Average,385,,,,,,,,26%,25%,25%,24%,,,,,10%,10%,52%,44%,10%,5%,52%,48%,56%,14%,32%,06/01/2021
80,20-21,Charter,499,KIPP Academy Nashville Elementary,8095,37206,5.0,Average,424,,,21%,20%,19%,21%,20%,,,,,,,,,10%,10%,89%,7%,10%,5%,49%,51%,82%,15%,5%,06/01/2021
81,20-21,Charter,503,KIPP Nashville College Prep,8042,37207,6.0,Average,356,,,,,,,,24%,29%,26%,21%,,,,,10%,10%,78%,19%,10%,10%,49%,51%,55%,15%,13%,06/01/2021
82,20-21,Charter,501,KIPP Nashville College Prep Elementary,8085,37207,,Unranked,433,,,18%,20%,21%,21%,20%,,,,,,,,,10%,10%,85%,10%,10%,5%,52%,48%,64%,11%,6%,06/01/2021
83,20-21,Charter,504,KIPP Nashville Collegiate High School,8011,37207,5.0,Average,469,,,,,,,,,,,,29%,28%,23%,20%,10%,10%,65%,30%,10%,5%,50%,50%,43%,16%,11%,06/01/2021
84,20-21,Charter,511,Knowledge Academies High School,8065,37013,2.0,Below Average,152,,,,,,,,,,,,38%,26%,19%,17%,10%,10%,37%,43%,10%,17%,55%,45%,32%,22%,32%,06/01/2021
85,20-21,Charter,506,Knowledge Academy,8012,37013,4.0,Below Average,121,,,,,,,,16%,17%,32%,35%,,,,,10%,10%,29%,47%,10%,23%,56%,44%,39%,15%,39%,06/01/2021
86,20-21,Elementary School,122,Lakeview Elementary,430,37217,,Unranked,585,9%,8%,15%,18%,17%,16%,17%,,,,,,,,,10%,5%,30%,47%,10%,19%,53%,47%,46%,20%,43%,06/01/2021
87,20-21,Charter,508,LEAD Academy,8003,37208,3.0,Below Average,470,,,,,,,,,,,,30%,27%,24%,18%,10%,10%,37%,51%,10%,11%,48%,52%,47%,13%,40%,06/01/2021
88,20-21,Charter,181,LEAD Cameron,8010,37210,,Unranked,668,,,,,,,,23%,26%,25%,26%,,,,,10%,10%,22%,71%,10%,7%,54%,46%,46%,13%,65%,06/01/2021
89,20-21,Charter,507,LEAD Southeast,8013,37211,6.0,Average,852,,,,,,,,15%,17%,14%,14%,13%,12%,10%,6%,10%,7%,19%,48%,10%,27%,50%,50%,36%,10%,54%,06/01/2021
90,20-21,Charter,517,Liberty Collegiate Academy,8005,37216,5.0,Average,446,,,,,,,,20%,25%,26%,29%,,,,,10%,10%,38%,54%,10%,8%,50%,50%,51%,17%,40%,06/01/2021
91,20-21,Elementary School,520,Lockeland Elementary,435,37206,9.0,Above Average,285,,,21%,21%,20%,19%,19%,,,,,,,,,10%,10%,6%,10%,10%,88%,48%,52%,6%,11%,10%,06/01/2021
92,20-21,Middle School,545,Madison Middle,622,37115,3.0,Below Average,586,,,,,,,,25%,25%,26%,24%,,,,,10%,10%,58%,30%,10%,11%,53%,47%,59%,14%,27%,06/01/2021
93,20-21,High School,550,Maplewood High,445,37216,2.0,Below Average,710,,,,,,,,,,,,24%,31%,24%,21%,10%,10%,69%,22%,10%,7%,49%,51%,62%,20%,22%,06/01/2021
94,20-21,Middle School,100,Margaret Allen Middle,450,37210,3.0,Below Average,423,,,,,,,,21%,22%,27%,30%,,,,,10%,10%,36%,47%,10%,14%,56%,44%,47%,13%,52%,06/01/2021
95,20-21,High School,497,Martin Luther King Jr School,456,37203,9.0,Above Average,1251,,,,,,,,,,10%,12%,21%,20%,20%,18%,10%,10%,37%,10%,10%,43%,49%,51%,13%,5%,5%,06/01/2021
96,20-21,Elementary School,682,May Werthan Shayne Elementary School,608,37211,7.0,Above Average,740,< 5%,< 5%,20%,18%,21%,17%,20%,,,,,,,,,10%,10%,28%,10%,10%,51%,53%,47%,30%,9%,22%,06/01/2021
97,20-21,Elementary School,530,McGavock Elementary,465,37214,4.0,Below Average,227,< 10,< 10,20%,21%,18%,18%,20%,,,,,,,,,10%,5%,26%,44%,10%,25%,54%,46%,47%,11%,41%,06/01/2021
98,20-21,High School,532,McGavock High,470,37214,3.0,Below Average,2087,,,,,,,,,,,,28%,27%,24%,21%,10%,5%,41%,21%,10%,35%,48%,52%,39%,13%,11%,06/01/2021
99,20-21,Middle School,540,McMurray Middle,480,37211,4.0,Below Average,748,,,,,,,,24%,27%,24%,25%,,,,,10%,9%,14%,68%,10%,8%,53%,47%,47%,11%,70%,06/01/2021
100,20-21,Middle School,555,Meigs Middle,330,37206,8.0,Above Average,681,,,,,,,,25%,25%,25%,25%,,,,,10%,10%,26%,8%,10%,56%,49%,51%,11%,5%,5%,06/01/2021
101,20-21,Non-Traditional,748,Metro Nashville Virtual School,3,37209,,Unranked,259,,,,,,,,,< 10,6%,35%,12%,6%,14%,25%,10%,8%,29%,10%,10%,52%,37%,63%,17%,6%,10%,06/01/2021
102,20-21,High School,562,Middle College High,437,37209,,Unranked,156,,,,,,,,,,,,21%,46%,33%,,10%,10%,48%,12%,10%,34%,45%,55%,25%,10%,10%,06/01/2021
103,20-21,Middle School,535,Moses McKissack Middle,35,37209,2.0,Below Average,265,,,,,,,,21%,29%,22%,28%,,,,,10%,10%,89%,8%,10%,10%,53%,47%,81%,28%,6%,06/01/2021
104,20-21,Elementary School,576,Mt. View Elementary,493,37013,5.0,Average,712,< 10,7%,18%,19%,17%,20%,19%,,,,,,,,,10%,5%,32%,34%,10%,29%,49%,51%,42%,9%,44%,06/01/2021
105,20-21,Special Education,585,Murrell School,505,37210,,Unranked,42,,,,< 10,,< 10,29%,< 10,< 10,< 10,,,,,,10%,10%,62%,10%,10%,26%,81%,10%,69%,95%,10%,06/01/2021
106,20-21,Elementary School,590,Napier Elementary,510,37210,4.0,Below Average,271,< 5%,6%,19%,18%,21%,15%,17%,,,,,,,,,10%,10%,91%,5%,10%,10%,48%,52%,93%,18%,10%,06/01/2021
107,20-21,Non-Traditional,142,Nashville Big Picture High School,53,37209,5.0,Average,154,,,,,,,,,,,,32%,26%,19%,23%,10%,10%,75%,8%,10%,17%,42%,58%,35%,19%,10%,06/01/2021
108,20-21,Charter,592,Nashville Classical,8044,37206,7.0,Above Average,500,,,14%,13%,13%,12%,13%,12%,12%,10%,,,,,,10%,10%,65%,9%,10%,25%,50%,50%,38%,13%,5%,06/01/2021
109,20-21,Charter,594,Nashville Prep,8008,37209,5.0,Average,328,,,,,,,,21%,23%,25%,30%,,,,,10%,10%,53%,38%,10%,7%,48%,52%,53%,17%,31%,06/01/2021
110,20-21,High School,242,Nashville School Of The Arts,512,37210,7.0,Above Average,578,,,,,,,,,,,,28%,28%,23%,20%,10%,5%,39%,9%,10%,49%,31%,69%,17%,9%,5%,06/01/2021
111,20-21,Charter,601,Neelys Bend College Prep,6000,37115,4.0,Below Average,487,,,,,,,,24%,23%,28%,24%,,,,,10%,10%,43%,44%,10%,13%,55%,45%,51%,14%,35%,06/01/2021
112,20-21,Elementary School,595,Neelys Bend Elementary,515,37115,4.0,Below Average,269,,< 5%,17%,22%,17%,21%,18%,,,,,,,,,10%,10%,34%,49%,10%,17%,50%,50%,48%,14%,34%,06/01/2021
113,20-21,Elementary School,145,Norman Binkley Elementary,525,37211,6.0,Average,572,,< 5%,21%,19%,20%,17%,19%,,,,,,,,,10%,7%,12%,54%,10%,26%,48%,52%,40%,12%,60%,06/01/2021
114,20-21,Elementary School,610,Old Center Elementary,535,37072,6.0,Average,310,,8%,19%,17%,16%,19%,20%,,,,,,,,,10%,10%,46%,36%,10%,16%,45%,55%,50%,15%,26%,06/01/2021
115,20-21,Elementary School,618,Paragon Mills Elementary,540,37211,4.0,Below Average,563,< 5%,6%,17%,19%,20%,18%,18%,,,,,,,,,10%,9%,25%,53%,10%,13%,52%,48%,52%,12%,58%,06/01/2021
116,20-21,Elementary School,620,Park Avenue Elementary,545,37209,5.0,Average,304,7%,9%,14%,22%,14%,18%,17%,,,,,,,,,10%,10%,84%,6%,10%,8%,50%,50%,79%,22%,5%,06/01/2021
117,20-21,High School,632,Pearl-Cohn High,555,37208,2.0,Below Average,632,,,,,,,,,,,,30%,28%,24%,18%,10%,10%,94%,5%,10%,10%,50%,50%,76%,21%,5%,06/01/2021
